,Unnamed: 0,Native Balance
0,0,15684519.6528402
1,1,13220124.6033724
2,2,13338493.9891904
3,3,12358863.6325171
4,4,15232860.2949591
5,5,16453035.5613897
6,6,29947250.136556
7,7,63050290.2083245
8,8,755688249.855473
9,9,709227059.002655
10,10,711284621.88267
11,11,682257219.280757
12,12,712003409.81379
13,13,675377461.069098
14,14,642728771.20996
15,15,632779726.973518
16,16,591084868.592135
17,17,615101105.496251
18,18,687871987.847671
19,19,693437659.04307
20,20,676496355.478471
21,21,646755539.501156
22,22,638959763.528538
23,23,643234563.69477
24,24,648608847.74629
25,25,636532688.86426
26,26,601118813.34974
27,27,561881583.365791
28,28,578928766.153122
29,29,548081239.813614
30,30,541205937.13478
31,31,572836087.999668
32,32,646857244.362987
33,33,630819327.043125
34,34,637760066.291514
35,35,591316648.654515
36,36,604095104.577152
37,37,672866039.50566
38,38,639980264.873122
39,39,646142896.379798
40,40,683676365.67834
41,41,715859751.996199
42,42,674287890.245852
43,43,660376748.723838
44,44,691450151.529627
45,45,666750345.705144
46,46,663088009.228524
47,47,666630325.004497
48,48,643635666.823022
49,49,636782124.819159
50,50,640085548.355135
51,51,641306661.493713
52,52,622134262.409003
53,53,646205941.878209
54,54,648370535.338493
55,55,580670275.390948
56,56,492137611.070687
57,57,461757233.177411
58,58,502581381.848609
59,59,499956055.549857
60,60,510951162.999238
61,61,505404410.507878
62,62,504677994.963585
63,63,494387709.136593
64,64,495881880.132097
65,65,494300172.512256
66,66,482997795.651178
67,67,493297632.477264
68,68,492179738.762056
69,69,455239774.333044
70,70,451512989.868901
71,71,393248520.205625
72,72,393248520.2056254
