,Unnamed: 0,Non Native Balance
0,0,412536985.449417
1,1,403507297.527095
2,2,399407920.548836
3,3,309116348.139307
4,4,456338217.61522
5,5,489368759.710515
6,6,504702908.089993
7,7,568082149.494268
8,8,588293659.190068
9,9,590391360.151709
10,10,598116951.577021
11,11,582136528.617668
12,12,601198573.038572
13,13,588475070.006408
14,14,577476578.636123
15,15,566818848.05858
16,16,568668780.081184
17,17,565005900.744694
18,18,587397084.069321
19,19,596370627.797355
20,20,597674883.140721
21,21,601330120.872588
22,22,601811192.012869
23,23,603529902.406981
24,24,608981785.609387
25,25,606487390.257531
26,26,589257710.554784
27,27,583175566.769496
28,28,596138768.414105
29,29,571500392.168645
30,30,571117844.449774
31,31,581323124.011852
32,32,588679583.864301
33,33,586258130.309774
34,34,578105831.293938
35,35,576235090.462617
36,36,578941636.390822
37,37,568914731.255574
38,38,563962323.603766
39,39,580110056.077566
40,40,594815722.177918
41,41,601429262.799607
42,42,601633253.877274
43,43,594959814.918143
44,44,611394534.284433
45,45,613956423.211303
46,46,612253162.634671
47,47,584787723.765379
48,48,585155139.939042
49,49,583034222.829609
50,50,582824409.264753
51,51,630254487.194341
52,52,628991214.774471
53,53,636202110.444299
54,54,640527183.152422
55,55,614520409.4587
56,56,567317851.218893
57,57,543214805.459321
58,58,560746460.133061
59,59,556562826.62934
60,60,562327083.766877
61,61,562382483.11379
62,62,563994791.471554
63,63,551365474.632321
64,64,544558447.752842
65,65,537324249.212664
66,66,537391337.956917
67,67,547440955.034775
68,68,549349761.234118
69,69,530690592.857692
70,70,528985194.245518
71,71,507301841.106909
72,72,507301841.1069089
